aoa,cl,cd,cm
0.0,0.4205987412497499,0.0385415521741833,-0.0874444375405758
1.0,0.542271911031671,0.0343098434536426,-0.0900247174798029
2.0,0.6694305415459,0.0307257343323089,-0.0903697670885555
3.0000000000000004,0.797583228832291,0.0277968736261843,-0.0886283263531694
4.0,0.922189556710596,0.0257343357979975,-0.0847026003554262
5.0,1.03753552560224,0.0253043840490676,-0.077026227533617
6.000000000000001,1.13250738629994,0.0265412375196978,-0.0676472958936421
7.0,1.23510241300314,0.0264530457362436,-0.0662147324021452
8.0,1.38928319315944,0.0257536295075544,-0.0700708186356746
9.0,1.48897620520647,0.0252096734489468,-0.0568685303044401
10.0,1.5569961580062,0.0150595339886651,-0.0522627279011301
11.0,1.64371318887968,0.0146581895921885,-0.0527644530254202
12.000000000000002,1.72556982965579,0.0158120084105741,-0.0506838442780163
13.000000000000002,1.79431720857515,0.017266907150065,-0.0487058544887759
14.0,1.8422782635431296,0.0194608850291851,-0.0470716085519989
14.999999999999998,1.85925849512167,0.0230039202554144,-0.0472444422154089
16.0,1.83533383326125,0.0295385747941833,-0.0529617420544861
17.0,1.7604762544953303,0.0431744152820353,-0.0709026629095265
18.0,1.61724414259003,0.0715022885501252,-0.10345465821297
19.0,1.41552980537893,0.1197931266517579,-0.140272911334392
20.0,1.22088787071326,0.187926203744745,-0.173571660745155
21.0,1.07596183951898,0.260783604998636,-0.200360477955603
22.0,0.990327858714788,0.325535047932436,-0.2207130615972289
23.0,0.9544671779455118,0.38312388305918,-0.237077657146831
24.000000000000004,0.943475370441365,0.4352476956782209,-0.249495510877274
25.0,0.948032545676352,0.481263398496939,-0.260440077933746
26.000000000000004,0.96080129734022,0.522828031561592,-0.270582517919077
27.0,0.977113315620241,0.561830697046711,-0.280141794529984
28.0,0.994516907079261,0.599566387026085,-0.289293504182598
29.000000000000004,1.01174979758873,0.636845877735392,-0.298154457837717
30.0,1.02817153101028,0.6739807028681,-0.306773020058468
