prof_5
1.000000	0.000000
0.800000	0.027075
0.600000	0.054243
0.450000	0.073420
0.400000	0.079088
0.350000	0.084332
0.325355	0.086531
0.300000	0.088302
0.275172	0.089339
0.250000	0.090000
0.227124	0.089951
0.205528	0.089904
0.189063	0.089340
0.173748	0.088553
0.159893	0.087210
0.147297	0.085562
0.133401	0.083086
0.119683	0.080255
0.109476	0.077500
0.100614	0.074954
0.092748	0.072536
0.085107	0.070033
0.078121	0.067572
0.071529	0.065058
0.065170	0.062396
0.058354	0.059426
0.051368	0.056137
0.046462	0.053441
0.041073	0.050555
0.035531	0.047507
0.030448	0.044506
0.026372	0.041909
0.022011	0.038881
0.017852	0.035881
0.013180	0.031820
0.009299	0.027394
0.006029	0.022500
0.003425	0.017221
0.001533	0.011647
0.000385	0.005874
0.000000	0.000000
