rib_11
 1.0000000  0.0000000
 0.9577769  0.0032589
 0.9081751  0.0070873
 0.8585733  0.0109156
 0.8089715  0.0147440
 0.7887696  0.0163032
 0.7593697  0.0185724
 0.7097680  0.0224008
 0.6601662  0.0262292
 0.6105644  0.0300575
 0.5983523  0.0310001
 0.5609626  0.0338859
 0.5113608  0.0377143
 0.4617590  0.0415427
 0.4301315  0.0439838
 0.4121573  0.0453711
 0.3625555  0.0491994
 0.3129537  0.0530278
 0.2944570  0.0544554
 0.2864751  0.0547884
 0.2631344  0.0556214
 0.2431549  0.0561723
 0.2231755  0.0567232
 0.2031960  0.0572741
 0.1832166  0.0578249
 0.1750000  0.0580515
 0.1696407  0.0579299
 0.1632797  0.0577855
 0.1433727  0.0572106
 0.1234657  0.0563887
 0.1222984  0.0563406
 0.1039075  0.0549167
 0.0941392  0.0540035
 0.0842841  0.0530821
 0.0818568  0.0527233
 0.0751055  0.0517256
 0.0658445  0.0501903
 0.0565836  0.0485806
 0.0529896  0.0479558
 0.0478730  0.0466996
 0.0395115  0.0444437
 0.0311500  0.0421034
 0.0292787  0.0414955
 0.0290956  0.0414245
 0.0273482  0.0407469
 0.0256109  0.0399917
 0.0256009  0.0399871
 0.0238535  0.0391345
 0.0221062  0.0381831
 0.0203588  0.0371252
 0.0186115  0.0359515
 0.0168641  0.0346501
 0.0151168  0.0332060
 0.0133694  0.0315998
 0.0132474  0.0314809
 0.0121593  0.0303789
 0.0109895  0.0291024
 0.0098198  0.0277180
 0.0086500  0.0262085
 0.0074877  0.0245619
 0.0066048  0.0231945
 0.0057275  0.0217152
 0.0048502  0.0200893
 0.0041252  0.0186075
 0.0033515  0.0168492
 0.0024259  0.0141224
 0.0015003  0.0113956
 0.0009385  0.0085713
 0.0003767  0.0057470
 0.0001883  0.0028735
 0.0000000  0.0000000
 0.0001883 -0.0028735
 0.0003767 -0.0057470
 0.0009385 -0.0085713
 0.0015003 -0.0113956
 0.0024259 -0.0141224
 0.0033515 -0.0168492
 0.0046252 -0.0194319
 0.0058988 -0.0220146
 0.0074986 -0.0244089
 0.0090985 -0.0268033
 0.0109972 -0.0289683
 0.0128958 -0.0311333
 0.0150609 -0.0330320
 0.0172259 -0.0349307
 0.0196202 -0.0365305
 0.0220146 -0.0381304
 0.0245973 -0.0394040
 0.0271799 -0.0406776
 0.0299068 -0.0416033
 0.0326336 -0.0425289
 0.0354579 -0.0430907
 0.0382822 -0.0436525
 0.0411557 -0.0438408
 0.0440292 -0.0440292
 0.0469026 -0.0438408
 0.0497761 -0.0436525
 0.0526004 -0.0430907
 0.0554248 -0.0425289
 0.0581516 -0.0416033
 0.0608784 -0.0406776
 0.0634611 -0.0394040
 0.0660438 -0.0381304
 0.0684381 -0.0365305
 0.0708324 -0.0349307
 0.0729975 -0.0330320
 0.0751625 -0.0311333
 0.0770612 -0.0289683
 0.0789599 -0.0268033
 0.0805597 -0.0244089
 0.0821595 -0.0220146
 0.0834332 -0.0194319
 0.0847068 -0.0168492
 0.0941392 -0.0014548
 0.1039075  0.0097812
 0.1222984  0.0245290
 0.1234657  0.0252929
 0.1433727  0.0357364
 0.1632797  0.0429857
 0.1696407  0.0448194
 0.1750000  0.0461895
 0.1832166  0.0480633
 0.2031960  0.0515148
 0.2231755  0.0537148
 0.2431549  0.0549061
 0.2631344  0.0552536
 0.2864751  0.0547754
 0.2944570  0.0534554
 0.3129537  0.0520278
 0.3625555  0.0481994
 0.4121573  0.0443711
 0.4301315  0.0429838
 0.4617590  0.0405427
 0.5113608  0.0367143
 0.5609626  0.0328859
 0.5983523  0.0300001
 0.6105644  0.0290575
 0.6601662  0.0252292
 0.7097680  0.0214008
 0.7593697  0.0175724
 0.7887696  0.0153032
 0.8089715  0.0137440
 0.8585733  0.0099156
 0.9081751  0.0060873
 0.9577769  0.0022589
 1.0000000 -0.0010000
